version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 104.131.155.175 40098 123 17 1 76 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 72.21.207.45 10.10.0.10 443 44700 6 23 7181 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 143.198.227.207 54099 123 17 1 76 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 104.131.155.175 10.10.0.10 123 40098 17 1 76 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 72.21.207.47 10.10.0.10 443 35588 6 24 7209 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 52.46.159.244 10.10.0.10 443 41066 6 19 6664 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 143.198.227.207 10.10.0.10 123 59948 17 1 76 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 72.21.207.45 44700 443 6 23 5377 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 52.46.159.244 41066 443 6 16 3232 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 143.198.227.207 59948 123 17 1 76 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 143.198.227.207 10.10.0.10 123 54099 17 1 76 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 72.21.207.45 10.10.0.10 443 34664 6 24 7209 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 72.21.207.45 34664 443 6 22 5337 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 72.21.207.47 35588 443 6 22 5337 1666707668 1666707728 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 209.54.182.89 10.10.0.10 443 44480 6 12 480 1666707668 1666707848 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 209.54.182.89 44480 443 6 12 480 1666707668 1666707848 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 54.156.237.13 0 0 1 176 14784 1666707668 1666707848 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 143.198.227.207 10.10.0.10 123 56025 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 104.131.155.175 10.10.0.10 123 49625 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 67.220.242.46 44802 443 6 22 5337 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 138.68.201.49 10.10.0.10 123 34971 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 104.131.155.175 10.10.0.10 123 38938 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 138.68.201.49 34971 123 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 67.220.242.46 10.10.0.10 443 47072 6 24 7209 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 107.170.29.136 10.10.0.10 123 36313 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 143.198.227.207 56025 123 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 107.170.29.136 36313 123 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 138.68.201.49 10.10.0.10 123 47525 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 67.220.242.46 10.10.0.10 443 44802 6 25 7249 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 138.68.201.49 47525 123 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 107.170.29.136 10.10.0.10 123 45496 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 67.220.242.46 41428 443 6 22 5337 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 67.220.242.46 47072 443 6 22 5337 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 104.131.155.175 49625 123 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 67.220.242.46 10.10.0.10 443 41428 6 25 7249 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 104.131.155.175 38938 123 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 107.170.29.136 45496 123 17 1 76 1666707728 1666707788 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 67.220.242.48 38052 443 6 22 5337 1666707791 1666707848 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 52.46.143.242 57884 443 6 22 5337 1666707791 1666707848 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 52.46.143.242 10.10.0.10 443 57884 6 22 7129 1666707791 1666707848 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 67.220.242.48 10.10.0.10 443 38052 6 23 7169 1666707791 1666707848 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 10.10.0.10 52.46.143.242 60134 443 6 22 5337 1666707791 1666707848 ACCEPT OK
2 343374970437 eni-075fa0c26684c44d9 52.46.143.242 10.10.0.10 443 60134 6 25 7249 1666707791 1666707848 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 173.230.144.79 49104 123 17 1 76 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 67.220.240.173 45760 443 6 6 271 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 45.45.184.14 10.10.0.20 123 39778 17 1 76 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 67.220.240.173 10.10.0.20 443 36420 6 24 7209 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 167.248.49.102 53296 123 17 1 76 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 167.248.49.102 10.10.0.20 123 53296 17 1 76 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 67.220.240.173 10.10.0.20 443 45760 6 5 574 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 216.218.254.202 10.10.0.20 123 50785 17 1 76 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 67.220.240.173 10.10.0.20 443 40864 6 24 7209 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 67.220.240.173 36420 443 6 22 5337 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 45.45.184.14 39778 123 17 1 76 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 173.230.144.79 10.10.0.20 123 49104 17 1 76 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 67.220.240.173 40864 443 6 22 5337 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 216.218.254.202 50785 123 17 1 76 1666707755 1666707813 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 209.54.182.89 10.10.0.20 443 47012 6 8 320 1666707755 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 209.54.182.89 47012 443 6 8 320 1666707755 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 34.204.241.118 0 0 1 117 9828 1666707755 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 52.119.198.91 10.10.0.20 443 41472 6 18 6624 1666707815 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 52.46.146.146 35558 443 6 22 5337 1666707815 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 52.46.146.146 50904 443 6 22 5337 1666707815 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 52.46.146.146 10.10.0.20 443 35558 6 25 7249 1666707815 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 173.230.144.79 53468 123 17 1 76 1666707815 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 72.21.207.44 10.10.0.20 443 58700 6 24 7209 1666707815 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 67.220.240.161 58616 443 6 15 5026 1666707815 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 173.230.144.79 10.10.0.20 123 53468 17 1 76 1666707815 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 10.10.0.20 216.218.254.202 36947 123 17 1 76 1666707815 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 67.220.240.161 10.10.0.20 443 58616 6 19 6635 1666707815 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 45.45.184.14 10.10.0.20 123 59797 17 1 76 1666707815 1666707873 ACCEPT OK
2 343374970437 eni-078c69e0620ced7a4 52.46.146.146 10.10.0.20 443 50904 6 25 7249 1666707815 1666707873 ACCEPT OK
