,cart_id,customer_id,product_id,product_amount,product_price
0,1,2,3,4,"$40,940.03"
1,4,1,0,13,$47.88
2,6,8,5,9,$731.08
3,0,1,4,2,$454.18
4,3,9,10,9,$478.65
5,1,9,3,5,$32.09
6,2,2,1,10,$7.01
7,7,4,5,7,"$5,363.50"
8,1,4,3,17,"$29,705.90"
9,6,5,1,5,$676.25
10,8,6,3,19,"$2,153.06"
11,7,1,5,17,$1.99
12,4,0,6,20,$5.78
13,8,3,9,2,$355.17
14,1,7,10,4,"$31,359.04"
15,2,2,6,1,$96.53
16,3,1,8,15,"$84,507.81"
17,8,8,9,8,"$62,013.58"
18,2,8,0,11,$22.02
19,0,9,3,5,$6.38
20,1,0,1,10,$89.37
21,3,7,10,6,$888.73
22,4,10,8,9,$18.88
23,7,10,10,6,"$6,155.71"
24,10,4,4,5,$963.22
25,0,0,4,18,"$7,481.02"
26,4,2,9,18,"$25,406.88"
27,10,0,3,8,"$7,286.08"
28,8,3,0,19,$371.08
29,7,5,0,13,$87.52
30,6,3,5,2,$28.39
31,5,7,1,8,"$26,941.09"
32,7,1,3,15,$280.68
33,5,2,1,5,"$11,540.03"
34,1,6,4,12,$64.12
35,6,7,10,4,"$1,778.27"
36,7,6,10,20,"$8,143.46"
37,4,9,6,2,$81.63
38,5,9,7,7,$9.60
39,3,8,2,20,"$53,659.80"
40,6,1,7,9,$967.46
41,7,10,10,3,$1.39
42,5,9,3,14,$118.28
43,7,10,4,12,$31.02
44,9,0,4,4,$749.65
45,7,7,6,2,$115.26
46,3,8,0,8,"$43,612.32"
47,10,7,4,19,$583.84
48,2,10,2,17,$677.82
49,9,4,7,20,$61.88
50,3,9,5,3,$58.75
51,10,4,9,8,"$50,100.53"
52,1,10,2,5,$700.98
53,4,1,0,6,"$56,312.54"
54,3,8,7,3,$581.17
55,4,1,0,10,"$33,754.13"
56,7,2,3,8,"$19,962.01"
57,7,3,1,4,$5.25
58,2,8,2,17,$15.91
59,9,3,7,12,$88.42
60,1,8,4,13,$4.65
61,4,1,2,11,"$4,540.68"
62,5,1,8,13,"$3,527.43"
63,1,3,8,8,$62.00
64,1,2,1,17,$212.16
65,6,1,3,12,$369.20
66,7,4,2,5,$998.70
67,9,0,8,7,"$50,788.46"
68,1,1,10,7,"$34,297.13"
69,2,1,5,10,"$1,596.94"
70,6,7,5,18,$665.74
71,9,7,5,16,"$93,941.62"
72,5,8,8,20,"$85,013.31"
73,0,7,2,7,$200.09
74,7,1,9,13,"$68,842.98"
75,9,2,10,9,$2.46
76,2,8,7,19,$5.08
77,6,2,5,17,$59.77
78,4,9,4,20,$5.74
79,10,9,0,4,$558.03
80,8,9,9,17,"$9,080.75"
81,8,10,0,11,"$69,561.41"
82,3,6,1,13,"$9,711.90"
83,10,3,2,9,$16.42
84,1,1,0,18,$918.15
85,7,5,0,7,$7.02
86,1,4,0,16,"$90,038.54"
87,4,2,2,12,"$7,513.73"
88,7,3,10,1,"$10,647.01"
89,6,8,7,17,$9.88
90,6,0,7,7,"$28,860.38"
91,8,5,6,18,"$58,448.76"
92,0,6,9,11,"$18,406.97"
93,7,3,6,13,$9.57
94,6,8,3,14,$0.49
95,10,10,10,3,$9.57
96,5,6,4,11,$2.97
97,8,10,6,13,"$6,717.28"
98,4,8,8,2,"$85,185.77"
99,0,9,1,2,$16.94
100,3,0,5,14,$56.49
101,10,0,6,13,"$70,354.17"
102,5,7,6,9,"$56,673.42"
103,5,9,5,16,$9.13
104,10,5,4,4,$0.66
105,8,3,8,7,$99.84
106,9,4,5,18,$94.10
107,5,9,5,1,$11.25
108,7,0,9,19,"$6,618.59"
109,1,7,7,14,$0.79
110,7,1,7,4,$9.97
111,0,4,4,4,"$5,418.40"
112,2,6,7,9,$847.37
113,2,9,6,16,$250.11
114,2,9,2,4,$917.88
115,5,7,2,14,"$82,665.08"
116,2,6,5,6,$85.72
117,3,6,9,14,$0.13
118,2,2,0,11,$9.51
119,10,9,4,9,$5.37
120,1,7,7,20,$680.56
121,1,2,3,12,"$5,033.82"
122,1,4,8,1,$16.10
123,9,8,8,20,"$58,349.61"
124,9,9,7,7,$53.88
125,9,4,7,19,$714.13
126,7,1,8,10,$267.94
127,0,9,3,10,$318.64
128,9,0,2,8,"$93,771.09"
129,2,6,8,11,$17.33
130,5,6,4,17,$84.99
131,0,7,2,7,"$87,980.78"
132,7,4,8,16,"$9,847.41"
133,2,9,6,4,"$1,039.87"
134,1,1,8,13,$73.71
135,8,3,0,3,$9.16
136,7,8,6,15,$130.17
137,4,2,6,6,"$1,198.71"
138,2,8,3,8,$826.67
139,10,10,1,18,$439.95
140,3,2,0,14,$6.95
141,6,8,7,4,"$12,939.38"
142,9,3,1,13,"$17,288.89"
143,1,8,2,2,$76.18
144,1,0,8,4,$20.49
145,4,2,9,14,$6.70
146,10,9,3,18,"$54,266.55"
147,0,0,2,16,$3.28
148,7,3,2,19,$433.15
149,10,8,8,18,"$57,552.32"
150,5,10,5,14,$49.89
151,4,8,1,18,"$32,927.62"
152,10,0,0,1,$89.71
153,5,10,2,2,$686.17
154,6,0,3,11,$497.11
155,8,8,8,19,$7.12
156,7,4,7,18,"$7,795.27"
157,3,1,10,10,$507.87
158,2,4,0,4,"$4,811.81"
159,9,3,6,15,$4.42
160,10,5,5,11,$65.27
161,10,0,6,4,$5.77
162,1,7,1,13,"$1,136.29"
163,4,4,7,11,$0.96
164,2,10,9,16,"$31,987.90"
165,2,5,4,17,$56.11
166,5,2,7,14,"$2,200.64"
167,4,10,5,13,$62.58
168,2,1,8,6,"$61,980.18"
169,8,3,8,4,$5.28
170,10,0,6,4,"$2,703.56"
171,0,9,8,14,"$67,794.74"
172,5,0,9,14,$35.45
173,3,2,10,13,"$2,169.07"
174,10,2,6,16,"$23,293.92"
175,7,6,9,6,"$9,958.69"
176,5,2,3,16,"$17,341.81"
177,0,5,7,2,$6.61
178,3,5,10,17,$1.11
179,9,10,6,10,$45.29
180,1,4,6,13,$1.83
181,3,2,8,5,"$98,119.72"
182,7,10,3,16,$111.37
183,8,6,1,1,$6.22
184,3,5,3,5,"$6,608.18"
185,1,2,9,10,"$6,317.43"
186,5,2,9,11,"$7,882.23"
187,0,0,8,14,$797.12
188,4,2,4,15,"$59,395.83"
189,3,6,6,4,$26.28
190,10,6,6,9,"$72,384.98"
191,6,6,5,12,"$1,900.41"
192,2,6,1,10,$1.92
193,8,9,8,12,$328.66
194,5,8,9,7,$76.10
195,10,3,0,6,$335.68
196,3,10,3,17,$756.70
197,4,3,2,11,$9.28
198,7,5,2,20,$738.85
199,4,2,3,6,"$2,095.04"
200,7,0,1,17,"$17,736.56"
201,9,1,9,12,$981.37
202,10,1,6,15,$979.11
203,3,6,6,9,$77.15
204,5,10,5,2,$6.47
205,6,5,0,13,$815.60
206,2,5,9,19,$535.18
207,5,5,6,3,$964.64
208,5,0,1,9,"$6,683.60"
209,1,1,10,19,"$8,769.17"
210,7,4,3,10,"$6,873.79"
211,6,6,5,17,"$8,318.36"
212,2,4,7,2,$77.42
213,6,3,10,17,$5.09
214,4,6,0,7,$412.21
215,7,3,5,14,"$7,767.02"
216,7,1,8,10,"$7,933.84"
